tensor([[0.3360, 0.6640]], grad_fn=<SoftmaxBackward0>)
tensor([[0.7831, 0.2169]], grad_fn=<SoftmaxBackward0>)
tensor([[0.4304, 0.5696]], grad_fn=<SoftmaxBackward0>)
tensor([[0.6871, 0.3129]], grad_fn=<SoftmaxBackward0>)
tensor([[0.8093, 0.1907]], grad_fn=<SoftmaxBackward0>)
tensor([[0.5794, 0.4206]], grad_fn=<SoftmaxBackward0>)
tensor([[0.8891, 0.1109]], grad_fn=<SoftmaxBackward0>)
tensor([[0.2677, 0.7323]], grad_fn=<SoftmaxBackward0>)
tensor([[0.6737, 0.3263]], grad_fn=<SoftmaxBackward0>)
tensor([[0.1744, 0.8256]], grad_fn=<SoftmaxBackward0>)
tensor([[0.4173, 0.5827]], grad_fn=<SoftmaxBackward0>)
tensor([[0.7373, 0.2627]], grad_fn=<SoftmaxBackward0>)
tensor([[0.6304, 0.3696]], grad_fn=<SoftmaxBackward0>)
tensor([[0.8485, 0.1515]], grad_fn=<SoftmaxBackward0>)
tensor([[0.2486, 0.7514]], grad_fn=<SoftmaxBackward0>)
tensor([[0.2671, 0.7329]], grad_fn=<SoftmaxBackward0>)
tensor([[0.6560, 0.3440]], grad_fn=<SoftmaxBackward0>)
tensor([[0.8239, 0.1761]], grad_fn=<SoftmaxBackward0>)
tensor([[0.5607, 0.4393]], grad_fn=<SoftmaxBackward0>)
tensor([[0.6454, 0.3546]], grad_fn=<SoftmaxBackward0>)
tensor([[0.5745, 0.4255]], grad_fn=<SoftmaxBackward0>)
tensor([[0.4557, 0.5443]], grad_fn=<SoftmaxBackward0>)
tensor([[0.8138, 0.1862]], grad_fn=<SoftmaxBackward0>)
tensor([[0.6306, 0.3694]], grad_fn=<SoftmaxBackward0>)
tensor([[0.4885, 0.5115]], grad_fn=<SoftmaxBackward0>)
tensor([[0.7645, 0.2355]], grad_fn=<SoftmaxBackward0>)
tensor([[0.7969, 0.2031]], grad_fn=<SoftmaxBackward0>)
tensor([[0.4575, 0.5425]], grad_fn=<SoftmaxBackward0>)
tensor([[0.7834, 0.2166]], grad_fn=<SoftmaxBackward0>)
tensor([[0.7339, 0.2661]], grad_fn=<SoftmaxBackward0>)
tensor([[0.3022, 0.6978]], grad_fn=<SoftmaxBackward0>)
tensor([[0.8311, 0.1689]], grad_fn=<SoftmaxBackward0>)
tensor([[0.8742, 0.1258]], grad_fn=<SoftmaxBackward0>)
tensor([[0.3120, 0.6880]], grad_fn=<SoftmaxBackward0>)
tensor([[0.4797, 0.5203]], grad_fn=<SoftmaxBackward0>)
tensor([[0.7351, 0.2649]], grad_fn=<SoftmaxBackward0>)
tensor([[0.7867, 0.2133]], grad_fn=<SoftmaxBackward0>)
tensor([[0.3524, 0.6476]], grad_fn=<SoftmaxBackward0>)
tensor([[0.7546, 0.2454]], grad_fn=<SoftmaxBackward0>)
tensor([[0.2455, 0.7545]], grad_fn=<SoftmaxBackward0>)
tensor([[0.3753, 0.6247]], grad_fn=<SoftmaxBackward0>)
tensor([[0.2631, 0.7369]], grad_fn=<SoftmaxBackward0>)
tensor([[0.3394, 0.6606]], grad_fn=<SoftmaxBackward0>)
tensor([[0.3992, 0.6008]], grad_fn=<SoftmaxBackward0>)
tensor([[0.6568, 0.3432]], grad_fn=<SoftmaxBackward0>)
tensor([[0.7258, 0.2742]], grad_fn=<SoftmaxBackward0>)
tensor([[0.3273, 0.6727]], grad_fn=<SoftmaxBackward0>)
tensor([[0.5562, 0.4438]], grad_fn=<SoftmaxBackward0>)
tensor([[0.8065, 0.1935]], grad_fn=<SoftmaxBackward0>)
tensor([[0.3555, 0.6445]], grad_fn=<SoftmaxBackward0>)
