부정 긍정
0.553176 0.446824
0.605458 0.394542
0.609698 0.390302
0.596858 0.403142
0.602290 0.397710
0.602171 0.397829
0.592597 0.407403
0.606765 0.393235
0.580662 0.419338
0.577502 0.422498
0.633229 0.366771
0.622493 0.377507

0.630020 0.369980
0.629493 0.370507
0.613555 0.386445
0.630531 0.369469
0.630256 0.369744
0.639057 0.360943
0.628191 0.371810
0.618304 0.381696
0.624482 0.375518
0.628012 0.371988
0.618808 0.381192
0.638328 0.361672

0.643230 0.356770
0.634818 0.365182
0.623451 0.376549
0.641787 0.358213
0.639500 0.360500
0.637302 0.362698
0.632673 0.367327
0.627392 0.372608
0.613425 0.386575
0.638286 0.361714


