id,document,label
3153349,펀디엑스 ㅈ댄거임?,0
3153359,펀디는 답이 정해져있다..,0
3153363,펀디 어떻게든 개미떨굴라고ㅋㅋ,0
3153374,펀디 986층 오냐?,0
3153383,펀디 개같이 사망,0
3153385,리플 어떡하냐,0
3153390,펀디엑스 999에 3억물린놈 근황...jpg,0
3153422,펀디 걍 지금 뺄까,0
3153441,펀디엑스 다 얼마에 들어갓냐,0
3153543,잡코순환펌핑끝나면 비트나락공식,0
3153564,이오스 2천 뚫기 전에 타면 좆된다 햇제 햇제 ㅋㅋㅋ 나락,0
3153677,조선족 기사새끼떄문에 펀디는 오르지도않네ㅋㅋㅋ,0
3153687,펀디 애미없는조선족새끼가 다조져놔서 안오름ㅋㅋ,0
3153705,리플 10월까지 존버 탄다 시파꺼..알트는 개미무덤 뿐이네,0
3153741,이클 슬슬 사람피말리듯이 박고있넹 ㅜㅜ,0
3153773,펀디 조작질하는 고아원 장애인새끼ㄹㅇㅋㅋ,0
3153814,펀디기사 애미청년아 3퍼 익절한다 병신년아,0
3153897,전쟁낫다니까 비트개폭락중ㅋㅋㅋㅋ,0
3154074,이클 짱깨들이 운전수라 무빙 좆같음,0
3154260,근데 만약에 테더 터지면,0
3185721,5만전자 = 5만이클,0
3186158,이더클 플로우 펀디 이 3개다 미친늠드라,0
3186851,걍 내생각인데 비트코인시장거품 다빠지고 도박장된느낌,0
3187067,위믹스는 진짜 개 쓰레기네ㅋㅋㅋㅋ,0
3187101,이더 등락폭 ㅈㄴ 심하다,0
3187594,이클좀 뚫어라 매도벽 존나많네 ㅡㅡ,0
3189030,아발란체 씨발년 아까 팔껄그랫나,0
3214101,개퇴물 비트코인<<<<이더리움 똥받이 된지 오래됐음,0
3215743,이더 ㅡ 돔 황. 차 ㅡㅡㅡㅡㅡㅡ,0
3219814,씨발 골렘만 쳐 오르고 비트만쳐오르고 알트들 그대로 ㅋㅋㅋㅋㅋㅋㅋ,0
3219882,이더숏개물렸다 씨발,0
3221119,다들 도망은 잘 쳤냐?ㅋㅋㅋ 일단 난 비트 수익보던가 익절함,0
3221274,넴 썸싱 잘가고 ㅋㅋㅌ,0
